Watchlist 'NDX 2DTE'

NDX 2DTE
Symbol,Last,PTS,Sell-Pressure %,Flow Press STATE,GEX PROXY $M,OI Market Val $M,Vol/OI turnover,SESS GRS Prem $M,Fresh GRS Prem$M,Dollar Flow $M,Net Prem,REC Flow Con,Score,Session flow con,High,Underlying Move ,Low,Net Chng,%Change,Open.Int,Volume,Mark,Bid,Ask
.NDXP260615C29640,203.91,4.1,NaN,INSUFFICIENT_DATA,0.62,0.02,39.0,0.88,0.48,NaN,NaN,NaN,LOW | 40,NaN,257.90,-0.15,197.40,+123.22,+152.71%,1,39,229.750,205.60,253.90
.NDXP260615C29650,215.70,14.1,NaN,INSUFFICIENT_DATA,1.84,0.06,10.0,0.68,0.38,NaN,NaN,NaN,LOW | 52,NaN,275.67,NaN,192.35,+16.52,+8.29%,3,30,225.900,201.80,250.00
.NDXP260615C29660,187.77,24.1,NaN,INSUFFICIENT_DATA,2.51,0.08,6.0,0.51,0.28,NaN,NaN,NaN,LOW | 36,NaN,245.45,NaN,187.77,+98.30,+109.87%,4,24,215.100,205.10,225.10
.NDXP260615C29670,189.09,34.1,NaN,INSUFFICIENT_DATA,3.14,0.09,3.2,0.3,0.3,NaN,NaN,NaN,LOW | 56,NaN,227.50,1.39,177.40,+37.59,+24.81%,5,16,210.100,200.10,220.10
.NDXP260615P29600,164.28,35.9,NaN,INSUFFICIENT_DATA,-0.75,0.02,33.0,0.73,0.17,NaN,NaN,NaN,LOW | 36,NaN,311.33,0.26,164.28,-437.32,-72.69%,1,33,164.050,154.10,174.00
.NDXP260615C29690,179.27,54.1,NaN,INSUFFICIENT_DATA,1.26,0.04,10.5,0.4,0.38,NaN,NaN,NaN,LOW | 36,NaN,230.00,-0.2,172.01,+70.87,+65.38%,2,21,200.200,190.40,210.00
.NDXP260615C29700,188.30,64.1,NaN,INSUFFICIENT_DATA,6.32,0.19,3.8,0.77,0.21,NaN,NaN,NaN,LOW | 50,NaN,270.00,0.05,149.67,-30.15,-13.80%,10,38,194.150,184.30,204.00
.NDXP260615P29560,182.39,75.9,NaN,INSUFFICIENT_DATA,-0.73,0.02,24.0,0.43,0.5,NaN,NaN,NaN,LOW | 30,NaN,323.40,3.57,177.27,-818.01,-81.77%,1,24,149.750,140.00,159.50
.NDXP260615C29720,154.35,84.1,NaN,INSUFFICIENT_DATA,0.63,0.02,3.0,0.05,NaN,NaN,NaN,NaN,LOW | NaN,NaN,178.66,NaN,154.35,+61.31,+65.90%,1,3,183.750,174.00,193.50
.NDXP260615P29550,161.40,85.9,28.0,PUT_BUY_PRESSURE,-1.43,0.03,13.5,0.47,0.43,-0.2,0.2,NaN,NO DATA,NaN,223.95,0.26,161.40,-831.00,-83.74%,2,27,147.100,138.00,156.20
.NDXP260615C29730,185.00,94.1,NaN,INSUFFICIENT_DATA,1.27,0.04,1.5,0.06,0.08,NaN,NaN,NaN,LOW | NaN,NaN,207.86,NaN,181.10,+105.45,+132.56%,2,3,177.900,168.10,187.70
.NDXP260615P29510,137.59,125.9,NaN,INSUFFICIENT_DATA,-0.69,0.01,5.0,0.08,0.13,NaN,NaN,NaN,LOW | NaN,NaN,284.45,NaN,137.59,-214.01,-60.87%,1,5,134.850,126.10,143.60
.NDXP260615C29770,131.05,134.1,NaN,INSUFFICIENT_DATA,1.27,0.03,0.5,NaN,0.05,NaN,NaN,NaN,LOW | NaN,NaN,131.05,NaN,131.05,+29.75,+29.37%,2,1,157.850,148.10,167.60
.NDXP260615C29800,142.15,164.1,NaN,INSUFFICIENT_DATA,29.2,0.65,1.2,0.75,0.18,NaN,NaN,NaN,LOW | NaN,NaN,220.80,-0.08,98.92,-45.85,-24.39%,46,53,143.650,134.60,152.70
.NDXP260615C29810,137.48,174.1,NaN,INSUFFICIENT_DATA,NaN,0.1,2.9,0.28,0.2,NaN,NaN,NaN,LOW | 40,NaN,189.96,0.64,109.47,+79.08,+135.41%,7,20,139.600,130.00,149.20
.NDXP260615C29820,117.80,184.1,NaN,INSUFFICIENT_DATA,2.53,0.05,1.0,0.06,0.08,NaN,NaN,NaN,LOW | 35,NaN,164.83,3.91,117.80,+61.10,+107.76%,4,4,134.400,124.80,144.00
.NDXP260615P29450,135.15,185.9,NaN,INSUFFICIENT_DATA,-3.86,0.08,2.5,0.27,0.11,NaN,NaN,NaN,LOW | 40,NaN,266.28,-0.17,135.15,-184.97,-57.78%,6,15,117.800,108.00,127.60
.NDXP260615C29830,113.80,194.1,NaN,INSUFFICIENT_DATA,0.63,0.01,5.0,0.08,0.08,NaN,NaN,NaN,LOW | 35,NaN,206.20,2.04,103.52,+8.75,+8.33%,1,5,130.100,120.30,139.90
.NDXP260615P29430,137.30,205.9,NaN,INSUFFICIENT_DATA,NaN,0.05,5.0,0.47,0.09,NaN,NaN,NaN,LOW | 27,NaN,379.32,-0.21,137.30,-216.10,-61.15%,4,20,111.650,102.00,121.30
