Watchlist 'NDX 0DTE'

NDX 0DTE
Symbol,Last,PTS,Sell %,GEX,Vol/OI Ratio,OI $M,Cum Prem $M,Fresh Prem $M,FNPF $M,Flow Concentrate,DWF,0DTE Delta,DHP,Net Chng,%Change,Low,High,Volume,Open.Int,Fresh %,Net Dominance,Gamma Trap
.NDXP260611P29270,4.56,loading,99.03,loading,4.29,loading,1.31,0.0,loading,0.93,0.0,0.07,0.0,-697.12,-99.35%,4.15,629.33,103,24,loading,loading,loading
.NDXP260611C29470,46.65,loading,loading,0.0,loading,loading,loading,0.17,loading,15.68,loading,loading,loading,+26.65,+133.25%,1.32,56.00,174,10,loading,loading,NaN
.NDXP260611C29500,42.00,23.28,7.69,0.0,52.97,0.03,0.28,0.36,0.13,14.71,0.06,0.39,0.0,+31.21,+289.25%,.25,42.00,"1,536",29,NaN,—,NaN
.NDXP260611C29550,18.60,71.64,20.29,0.0,18.51,0.03,0.1,0.16,0.09,2.55,0.0,0.26,0.0,+11.38,+157.62%,.25,23.90,759,41,NaN,—,NaN
.NDXP260611P29300,7.45,178.36,100.0,0.0,11.25,0.01,1.17,0.07,0.01,3.3,0.02,0.11,0.0,-661.85,-98.89%,6.00,634.65,135,12,NaN,—,NaN
.NDXP260611C29570,19.00,87.96,7.89,0.0,6.81,0.06,0.04,0.09,0.01,1.3,0.01,0.21,0.0,+11.50,+153.33%,.77,19.15,228,32,NaN,—,NaN
.NDXP260611P29150,1.20,334.58,77.27,0.0,30.8,0.04,0.97,0.02,0.0,6.01,0.1,0.02,0.0,-584.08,-99.79%,.80,448.95,308,10,NaN,—,NaN
.NDXP260611P29190,2.27,294.58,82.11,0.0,7.69,0.0,0.48,0.01,0.0,1.12,0.0,0.03,0.0,-680.37,-99.67%,1.95,184.60,123,16,NaN,—,NaN
.NDXP260611P29200,2.05,277.54,89.86,0.0,17.25,0.07,1.35,0.03,0.0,6.56,0.3,0.03,0.0,-639.45,-99.68%,1.20,557.85,345,20,NaN,—,NaN
.NDXP260611P29250,3.58,234.47,100.0,0.0,4.19,0.01,0.64,0.02,0.0,0.83,0.0,0.06,0.0,-879.25,-99.59%,3.25,605.85,109,26,NaN,—,NaN
.NDXP260611C29560,20.13,77.96,7.53,0.0,5.47,0.03,0.08,0.05,0.0,0.88,0.0,0.24,0.0,+12.63,+168.40%,.60,20.85,186,34,NaN,—,NaN
.NDXP260611C29580,17.20,102.46,7.49,0.0,34.7,0.0,0.13,0.04,0.0,6.28,0.0,0.19,0.0,+9.90,+135.62%,.18,17.25,347,10,NaN,—,NaN
.NDXP260611C29600,12.45,122.46,25.41,0.0,26.28,0.0,0.29,0.2,0.0,4.42,0.0,0.18,0.0,+5.65,+83.09%,.10,13.95,"1,051",40,NaN,—,NaN
.NDXP260611C29610,9.51,132.46,18.4,0.0,25.0,0.0,0.1,0.03,0.0,3.4,0.0,0.16,0.0,+3.81,+66.84%,.55,12.61,250,10,NaN,—,NaN
.NDXP260611C29620,9.90,137.96,13.42,0.0,38.5,0.0,0.08,0.01,0.0,7.33,0.0,0.15,0.0,+4.00,+67.80%,.84,11.42,231,6,NaN,—,NaN
.NDXP260611C29650,7.00,169.08,32.32,0.0,20.63,0.02,0.13,0.03,0.0,12.01,0.04,0.09,0.0,+1.90,+37.25%,.25,11.00,496,24,NaN,—,NaN
.NDXP260611C29670,3.00,187.96,44.66,0.0,25.75,0.01,0.13,0.03,0.0,9.25,loading,0.07,0.0,-2.70,-47.37%,.50,11.30,412,16,NaN,—,NaN
.NDXP260611C29680,4.90,loading,27.13,0.0,loading,0.01,0.06,0.04,0.0,5.48,0.01,0.07,0.0,+.25,+5.38%,.49,8.00,328,24,NaN,—,NaN
.NDXP260611C29690,4.06,207.81,40.22,0.0,38.71,0.0,0.08,0.01,0.0,loading,0.0,0.06,0.0,-.44,-9.78%,.36,8.00,271,7,NaN,—,NaN
.NDXP260611C29700,3.50,loading,42.51,0.0,9.93,0.01,0.09,loading,0.0,3.88,0.01,0.06,0.0,-.85,-19.54%,.15,9.68,407,41,NaN,—,NaN
.NDXP260611C29720,3.50,239.08,39.67,0.0,20.17,0.0,0.03,0.0,0.0,3.63,0.0,0.05,0.0,+1.05,+42.86%,.40,9.60,121,6,NaN,—,NaN
.NDXP260611C29750,1.80,271.64,56.92,0.0,6.19,0.01,0.03,0.0,0.0,0.94,0.0,0.03,0.0,-.40,-18.18%,.30,10.06,130,21,NaN,—,NaN
.NDXP260611C29530,25.80,49.08,6.58,0.0,10.86,0.01,0.07,0.05,-0.01,1.96,0.0,0.31,0.0,+15.60,+152.94%,.51,25.80,152,14,NaN,—,NaN
.NDXP260611C29540,22.00,63.28,17.77,0.0,20.17,0.02,0.05,0.11,-0.03,3.22,0.02,0.28,0.0,+13.00,+144.44%,.19,26.70,242,12,NaN,—,NaN
.NDXP260611C29520,33.10,37.81,11.34,0.0,41.17,0.01,0.05,0.17,-0.06,5.55,0.02,0.33,0.0,+22.80,+221.36%,.30,36.20,247,6,NaN,—,NaN
.NDXP260611P29400,19.00,82.04,88.79,0.0,10.55,0.02,0.93,0.4,-0.1,5.56,0.09,0.27,0.0,-559.12,-96.71%,19.00,605.90,117,11,NaN,—,NaN
