Watchlist 'SPX WL'

SPX WL
Symbol,Last,PTS,Sell-Pressure %,Flow Press STATE,GEX PROXY $M,OI Market Val $M,Vol/OI turnover,SESS GRS Prem $M,Fresh GRS Prem$M,Dollar Flow $M,Net Prem,REC Flow Con,Score,Session flow con,High,Underlying Move ,Low,Net Chng,%Change,Open.Int,Volume,Mark,Bid,Ask
.SPXW260612C7420,4.10,1.6,70.0,CALL_SELL_PRESSURE,3043.7,0.76,30.7,103.06,3.05,-1.12,-1.2,NaN,NO DATA,310.7,44.40,-0.02,3.90,-22.00,-84.29%,"1,863","57,121",4.050,4.00,4.10
.SPXW260612P7420,5.60,1.9,39.0,PUT_BUY_PRESSURE,-1637.77,0.52,77.5,82.68,2.79,-0.63,0.68,NaN,NO DATA,705.2,68.23,-0.02,1.75,-40.57,-87.87%,942,"73,056",6.000,5.90,6.10
.SPXW260612P7415,3.50,3.4,44.0,MIXED,-1326.06,0.26,78.4,68.16,1.73,-0.33,0.23,NaN,WATCH P 7415 | 64,646.0,63.00,-0.02,.95,-39.97,-91.95%,784,"61,430",3.600,3.50,3.70
.SPXW260612C7415,6.90,3.5,69.0,CALL_SELL_PRESSURE,1982.51,0.85,25.8,72.4,1.5,-0.53,-0.53,NaN,NO DATA,219.4,48.92,-0.02,6.10,-21.61,-75.80%,"1,231","31,747",6.600,6.50,6.70
.SPXW260612P7425,8.57,6.6,41.0,PUT_BUY_PRESSURE,-4094.23,2.27,22.9,78.47,1.62,-0.32,0.41,NaN,NO DATA,203.2,70.10,-0.02,3.00,-38.23,-81.69%,"2,604","59,734",9.150,9.00,9.30
.SPXW260612C7425,2.30,6.9,71.0,CALL_SELL_PRESSURE,5345.01,0.85,18.2,95.99,2.22,-0.9,-0.94,NaN,NO DATA,177.7,41.00,-0.01,2.15,-21.40,-90.30%,"3,547","64,420",2.250,2.20,2.30
.SPXW260612P7410,1.94,8.4,46.0,MIXED,-1015.42,0.14,87.9,68.17,1.3,-0.08,0.05,NaN,LOW | 52,725.5,60.00,-0.02,.55,-36.85,-95.00%,759,"66,692",2.050,2.00,2.10
.SPXW260612C7410,9.85,8.5,62.0,CALL_SELL_PRESSURE,2042.84,1.53,19.5,78.75,0.88,-0.21,-0.21,NaN,NO DATA,172.8,52.50,-0.02,9.00,-20.90,-67.97%,"1,556","30,299",10.400,10.20,10.60
.SPXW260612C7430,1.20,11.5,71.0,CALL_SELL_PRESSURE,3245.65,0.36,30.2,106.45,1.73,-0.68,-0.68,NaN,NO DATA,311.6,37.30,-0.02,1.00,-20.46,-94.46%,"2,917","88,133",1.150,1.10,1.20
.SPXW260612P7430,12.54,11.5,39.0,PUT_BUY_PRESSURE,-801.76,0.84,67.1,69.62,1.3,-0.29,0.29,NaN,NO DATA,559.8,74.20,-0.02,5.00,-37.06,-74.72%,668,"44,821",13.050,12.80,13.30
.SPXW260612P7405,1.05,13.4,46.0,MIXED,-737.66,0.08,56.5,47.5,0.51,-0.03,0.03,NaN,LOW | 52,389.0,57.23,-0.02,.35,-34.64,-97.06%,801,"45,231",1.100,1.05,1.15
.SPXW260612C7435,.60,16.5,79.0,CALL_SELL_PRESSURE,674.35,0.06,76.2,75.33,0.76,-0.4,-0.41,NaN,NO DATA,661.1,33.80,-0.02,.55,-19.10,-96.95%,934,"71,160",.575,.55,.60
