Watchlist 'SPX WL 1DTE'

SPX WL 1DTE
Symbol,Last,PTS,Vol/OI Ratio,Sell %,FLOW STATE,Dollar Flow $M,GEX,OI $M,Fresh Prem $M,FNPF $M,DWF,0DTE Delta,Net Dominance,Gamma Trap
.SPXW260612P7365,21.00,29.3,3.17,61.9,BULL_PUT_SELL,NaN,NaN,NaN,0.02,-0.01,NaN,NaN,NEUTRAL,PIN_TRAP
.SPXW260612C7540,1.80,145.7,1.18,77.61,BEAR_CALL_SELL,NaN,NaN,NaN,0.0,0.0,NaN,NaN,NEUTRAL,PIN_TRAP
.SPXW260612C7450,14.68,55.7,2.6,58.31,BEAR_CALL_SELL,NaN,1376.7,NaN,0.05,0.02,NaN,NaN,NEUTRAL,PIN_TRAP
.SPXW260612C7400,35.80,5.7,7.3,43.18,MIXED,NaN,729.13,NaN,0.08,0.02,NaN,NaN,NEUTRAL,PIN_TRAP
.SPXW260612C7425,23.70,30.7,2.05,50.6,BEAR_CALL_SELL,NaN,658.99,NaN,0.02,0.0,NaN,NaN,NEUTRAL,PIN_TRAP
.SPXW260612C7500,4.70,105.7,3.51,66.77,BEAR_CALL_SELL,NaN,569.9,NaN,0.01,0.0,NaN,NaN,NEUTRAL,PIN_TRAP
.SPXW260612C7430,21.66,35.7,2.52,50.12,MIXED,NaN,520.5,loading,0.04,0.0,NaN,NaN,NEUTRAL,PIN_TRAP
.SPXW260612C7405,33.30,10.7,1.99,54.28,BEAR_CALL_SELL,NaN,423.29,NaN,0.04,0.01,NaN,NaN,NEUTRAL,PIN_TRAP
.SPXW260612C7455,13.25,60.7,4.79,52.03,BEAR_CALL_SELL,NaN,278.68,NaN,0.01,0.0,NaN,NaN,NEUTRAL,PIN_TRAP
.SPXW260612C7475,8.45,80.7,6.06,51.29,BEAR_CALL_SELL,NaN,233.65,NaN,0.5,0.15,NaN,NaN,NEUTRAL,PIN_TRAP
.SPXW260612C7420,26.10,25.7,6.17,46.2,BEAR_CALL_SELL,NaN,226.01,NaN,0.04,0.0,NaN,NaN,NEUTRAL,PIN_TRAP
.SPXW260612C7410,30.75,15.7,7.71,38.69,BEAR_CALL_SELL,NaN,221.17,NaN,0.02,0.0,NaN,NaN,NEUTRAL,PIN_TRAP
.SPXW260612C7525,2.64,130.7,3.2,66.95,BEAR_CALL_SELL,NaN,218.62,NaN,0.0,0.0,NaN,NaN,NEUTRAL,PIN_TRAP
.SPXW260612C7480,7.70,85.7,3.13,66.06,BEAR_CALL_SELL,NaN,203.57,NaN,0.0,0.0,NaN,NaN,NEUTRAL,PIN_TRAP
.SPXW260612C7465,10.55,70.7,4.58,57.62,BEAR_CALL_SELL,NaN,193.94,NaN,0.01,0.0,NaN,NaN,NEUTRAL,PIN_TRAP
.SPXW260612C7470,9.45,75.7,4.34,56.06,BEAR_CALL_SELL,NaN,186.8,NaN,0.01,0.0,NaN,NaN,NEUTRAL,PIN_TRAP
